simulation,trial,n,T_mse,S_mse,X_mse
simF,1,20000,9.998295321246973,11.356819823318967,10.011565660034114
simF,1,100000,10.079851129294031,11.42949845783442,10.08178766005171
simF,1,300000,10.065891964089905,11.446252685659886,10.061707305750364
simF,2,5000,10.027628407555094,11.186123233397987,10.054898540858725
simF,2,10000,10.050480537304917,11.312559425807944,10.058691888194094
simF,2,20000,9.9614598432438,11.293790324713347,9.95887712358674
simF,2,100000,9.973984651211794,11.322897444658729,9.97462541334708
simF,2,300000,9.982882050492636,11.34169724963353,9.978845024222665
simF,3,5000,10.27350892847974,11.45550348414363,10.251869614202208
simF,3,10000,9.935752972445766,11.18232092115401,9.936364853445262
simF,3,20000,9.951344172295569,11.24577244116867,9.948365591427793
simF,3,100000,9.94198144756044,11.256803449587748,9.938677111789234
simF,3,300000,9.971620224864377,11.298987862183843,9.965895698037489
simF,4,5000,10.23963560074136,11.67712723424761,10.222319660947528
simF,4,10000,10.066454804157958,11.481229296486642,10.036469833331592
simF,4,20000,10.126539644263719,11.519895743034727,10.118169359227615
simF,4,100000,10.037306576426857,11.419227179652097,10.033245305899703
simF,4,300000,9.98837808074374,11.377820873109554,9.984450864857791
simF,5,5000,10.173070670909805,11.548297244545182,10.166592683669215
simF,5,10000,10.091224309897008,11.462844340326907,10.066383509872061
simF,5,20000,10.125935679824527,11.519187310754136,10.134323616076616
simF,5,100000,10.001408804072156,11.370089035579229,9.997455536943118
simF,5,300000,9.987741227930416,11.351554327851394,9.986168744161377
simF,6,5000,10.097124550328182,11.337598735744185,10.118487202484848
simF,6,10000,10.00479202313625,11.329070466371153,10.015249205313285
simF,6,20000,9.921654739860887,11.266831455704422,9.907352518624156
simF,6,100000,9.886555356460713,11.184601393418358,9.87998691190559
simF,6,300000,9.881581002691831,11.185427336359364,9.880317372308912
simF,7,5000,9.943599522587608,11.208866728891598,9.953279966459597
simF,7,10000,10.077729438839533,11.37314685955076,10.07016861487684
simF,7,20000,10.041259282294256,11.362604475225671,10.03024550218098
simF,7,100000,9.9467053497552,11.308041347973154,9.93519856072266
simF,7,300000,9.911633468917122,11.278008399672876,9.904954165656088
simF,8,5000,10.347000252280225,11.672700443690175,10.349604796033514
simF,8,10000,10.124465357149392,11.4949014592047,10.117216276082214
simF,8,20000,10.211812012145716,11.615819471730374,10.21340502566564
simF,8,100000,10.148718570654378,11.527929764439149,10.150652825998916
simF,8,300000,10.077357463497973,11.47398407953596,10.07383504398642
simF,9,5000,10.080135812628699,11.361666191956777,10.07960008383103
simF,9,10000,10.092594302488624,11.397203163797386,10.086610071710426
simF,9,20000,10.080934140319258,11.409806719192792,10.08413773230671
simF,9,100000,10.017317378245282,11.35766344975818,10.013119617141047
simF,9,300000,9.97948915696548,11.330325666620839,9.972688012615633
